stat,name,lcI,lcV,type_1,period[d],<I>_1,<V>_1,ra_1,dec_1,ra_1a,dec_1a,amp,period_best,Ai_templ,<I>_templ,<V>_templ,rms,red_chi2,scatter,<I>_F,err_I,nI,p1,p2,p3,p4,p5,a1_F,f1_i,f12_i,r12_i
N,lc_00934.386_00436.505_t,SWEEPS_F1/A.3/newlctot/Isf/lc_00934.386_00436.505_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,5.71478,19.02,99.0,269.535208,-29.174278,17:58:08.45,-29:10:27.4,0.277,1.20936,0.15,19.016,99.0,1200.137,1.483,0.02,19.011,5055.062,815,11.36819,5.6837,1.20951,2.41901,1.69719,0.063,-1.206,2.514,0.387
N,lc_01115.991_02117.410_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01115.991_02117.410_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_01116.003_02118.592_t,ceph,8.759857,18.46,20.59,269.99375,-29.395889,17:59:58.50,-29:23:45.2,0.227,8.78411,0.118,18.453,20.683,1203.105,1.525,0.02,18.452,9483.622,790,8.78206,35.14425,3.3751,17.57284,26.35447,0.043,-1.131,1.179,0.211
N,lc_01380.123_01795.276_t,SWEEPS_F1/A.2/newlctot/Isf/lc_01380.123_01795.276_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_01380.266_01795.615_t,ceph,1.115343,18.13,20.09,269.816,-29.200722,17:59:15.84,-29:12:02.6,0.215,9.40408,0.129,18.13,20.114,1212.464,1.484,0.02,18.129,12589.883,815,28.21168,18.80562,37.62512,9.40075,1.11538,0.054,-0.781,3.429,0.031
N,lc_01438.527_01067.215_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01438.527_01067.215_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,8.955971,18.79,99.0,269.578333,-29.35225,17:58:18.80,-29:21:08.1,0.316,8.95534,0.267,18.801,99.0,1216.453,1.487,0.02,18.802,3255.244,824,17.91228,8.95722,26.86783,35.82062,3.36695,0.119,-1.64,5.51,0.14
N,lc_01051.225_00856.117_t,SWEEPS_F1/A.2/newlctot/Isf/lc_01051.225_00856.117_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_01050.921_00855.997_t,ceph,4.321052,18.39,20.25,269.754333,-29.181833,17:59:01.04,-29:10:54.6,0.236,4.32575,0.197,18.396,20.331,1229.775,1.505,0.02,18.399,3271.238,815,4.32195,8.6445,17.29028,12.96785,1.6207,0.094,-1.046,5.213,0.232
N,lc_01413.902_00924.119_t,SWEEPS_F2/B.4/newlctot/Isf/lc_01413.902_00924.119_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_01414.111_00925.359_t,ceph,7.74259,18.05,19.99,269.731667,-29.322861,17:58:55.60,-29:19:22.3,0.292,7.71181,0.236,18.046,19.886,1260.512,2.279,0.02,18.044,6082.099,554,30.88789,7.71473,15.43048,23.15384,1.76639,0.062,-1.974,6.964,0.129
N,lc_00913.484_01496.957_t,SWEEPS_F1/B.1/newlctot/Isf/lc_00913.484_01496.957_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00913.317_01497.128_t,ceph,3.960745,18.37,20.26,269.804625,-29.322667,17:59:13.11,-29:19:21.6,0.279,3.96601,0.153,18.355,20.28,1272.062,1.608,0.02,18.358,8009.946,789,7.93153,3.96592,11.90222,15.87017,4.01032,0.06,-1.79,1.417,0.484
N,lc_01039.843_01347.071_t,SWEEPS_F2/B.4/newlctot/Isf/lc_01039.843_01347.071_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_01039.818_01348.436_t,ceph,3.603922,18.34,20.43,269.759417,-29.301528,17:59:02.26,-29:18:05.5,0.263,3.60096,0.246,18.348,20.415,1292.643,1.59,0.02,18.349,6134.074,814,7.20291,3.60158,10.80599,3.12439,2.34326,0.08,2.658,-4.032,0.075
N,lc_00781.969_00602.376_t,SWEEPS_F2/A.2/newlctot/Isf/lc_00781.969_00602.376_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00782.651_00602.174_t,ceph,16.902697,17.69,19.6,269.864125,-29.138306,17:59:27.39,-29:08:17.9,0.273,16.95366,0.287,17.703,19.567,1319.197,1.629,0.02,17.705,16190.26,811,33.92094,16.96221,50.90477,67.87031,2.11936,0.105,-0.592,-1.689,0.186
N,lc_01718.690_01927.201_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01718.690_01927.201_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_01720.149_01926.708_t,ceph,7.018142,17.94,19.91,269.632458,-29.218944,17:58:31.79,-29:13:08.2,0.267,6.99186,0.172,17.939,19.956,1320.361,1.616,0.02,17.934,17133.496,815,7.00404,28.02556,21.02007,14.01181,3.4993,0.067,-0.82,0.717,0.079
N,lc_00243.717_00381.281_t,SWEEPS_F2/B.4/newlctot/Isf/lc_00243.717_00381.281_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_00243.086_00382.121_t,ceph,4.801308,17.95,20.24,269.696042,-29.255917,17:58:47.05,-29:15:21.3,0.237,4.80254,0.181,17.977,20.067,1321.953,1.624,0.02,17.974,5549.962,815,4.8004,9.59984,14.39986,1.25899,2.51783,0.069,-1.3,5.29,0.196
N,lc_01388.007_00990.359_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01388.007_00990.359_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_01388.359_00990.254_t,ceph,5.062735,18.38,20.35,269.696667,-29.172028,17:58:47.20,-29:10:19.3,0.398,5.06099,0.338,18.377,20.284,1338.969,1.661,0.02,18.377,6389.381,807,5.06325,10.12392,15.184,20.2451,1.66641,0.129,-0.104,2.847,0.345
N,lc_01590.147_01558.405_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01590.147_01558.405_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,11.651429,19.62,99.0,269.610458,-29.360917,17:58:26.51,-29:21:39.3,0.319,11.66007,0.288,19.616,99.0,1349.508,1.65,0.02,19.617,1647.124,824,23.30685,11.64876,34.93681,46.54719,1.83731,0.054,2.689,-7.908,0.283
N,lc_01300.597_00214.535_t,SWEEPS_F2/B.4/newlctot/Isf/lc_01300.597_00214.535_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,2.715174,19.32,99.0,269.685083,-29.316306,17:58:44.42,-29:18:58.7,0.293,2.71398,0.233,19.334,99.0,1354.69,1.675,0.02,19.327,2428.303,815,2.71198,5.42452,10.85648,8.14095,1.45873,0.045,0.189,0.278,0.122
N,lc_00182.897_00250.942_t,SWEEPS_F2/B.1/newlctot/Isf/lc_00182.897_00250.942_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,8.511352,18.99,99.0,269.8455,-29.253056,17:59:22.92,-29:15:11.0,0.283,8.48879,0.271,18.998,99.0,1369.894,1.677,0.02,18.987,6054.448,823,33.95059,16.97174,8.48922,25.46584,4.52002,0.076,-3.044,4.061,0.025
N,lc_01210.578_00372.409_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01210.578_00372.409_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_01210.931_00371.923_t,ceph,5.806331,17.51,19.54,269.65625,-29.161917,17:58:37.50,-29:09:42.9,0.242,1.2041,0.164,17.514,19.538,1399.457,1.736,0.02,17.512,21480.345,807,23.24094,1.70599,4.81647,11.62079,1.20408,0.073,-1.811,2.252,0.064
N,lc_01022.178_00438.226_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01022.178_00438.226_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_01023.790_00437.213_t,ceph,15.191055,18.19,20.71,269.535333,-29.179278,17:58:08.48,-29:10:45.4,0.267,15.19064,0.227,18.189,20.636,1408.874,1.724,0.02,18.189,10834.838,815,30.37729,15.18412,45.5948,3.7436,1.87181,0.087,-1.971,3.915,0.149
N,lc_00485.090_01224.581_t,SWEEPS_F2/B.4/newlctot/Isf/lc_00485.090_01224.581_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,5.556037,18.86,99.0,269.751375,-29.269833,17:59:00.33,-29:16:11.4,0.317,5.55613,0.197,18.852,99.0,1412.114,1.752,0.02,18.85,4876.494,812,11.1089,22.20996,5.55657,16.65565,1.69111,0.046,-1.699,4.115,0.424
N,lc_00560.769_01546.328_t,SWEEPS_F1/B.1/newlctot/Isf/lc_00560.769_01546.328_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00560.565_01546.652_t,ceph,3.112524,19.13,20.83,269.807875,-29.302556,17:59:13.89,-29:18:09.2,0.441,3.11239,0.444,19.137,20.913,1425.858,1.728,0.02,19.14,1641.621,823,6.22481,3.11239,9.33747,12.44943,1.51068,0.187,-1.91,3.911,0.119
N,lc_01803.762_00072.197_t,SWEEPS_F2/A.2/newlctot/Isf/lc_01803.762_00072.197_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_01804.290_00071.855_t,ceph,5.037716,17.54,19.51,269.829458,-29.196833,17:59:19.07,-29:11:48.6,0.22,5.03627,0.146,17.543,19.497,1426.204,1.761,0.02,17.544,19123.48,811,5.03698,10.07141,4.97449,15.1089,20.14608,0.058,-1.204,4.847,0.441
N,lc_01740.339_01589.967_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01740.339_01589.967_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_01740.904_01590.852_t,ceph,1.741811,19.44,21.33,269.95925,-29.431556,17:59:50.22,-29:25:53.6,0.272,2.33318,0.244,19.446,21.541,1430.22,1.777,0.02,19.442,1823.745,806,6.97055,4.66785,5.22506,9.33607,3.4833,0.031,-1.761,2.893,0.152
N,lc_00339.247_00847.649_t,SWEEPS_F1/A.2/newlctot/Isf/lc_00339.247_00847.649_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_00338.996_00847.711_t,ceph,4.437684,18.48,20.38,269.753792,-29.141056,17:59:00.91,-29:08:27.8,0.357,4.43864,0.276,18.485,20.48,1452.363,1.834,0.02,18.483,3362.27,790,4.43823,8.8765,17.7532,13.31526,1.62873,0.128,-1.394,0.909,0.049
N,lc_01858.234_01525.833_t,SWEEPS_F3/B.4/newlctot/Isf/lc_01858.234_01525.833_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,6.89714,18.71,99.0,269.755125,-29.438056,17:59:01.23,-29:26:17.0,0.292,6.90449,0.231,18.725,99.0,1452.914,1.8,0.02,18.723,6027.73,813,6.90242,13.79971,27.62377,20.71869,3.48575,0.072,-2.534,4.311,0.309
N,lc_00730.369_00710.887_t,SWEEPS_F2/A.2/newlctot/Isf/lc_00730.369_00710.887_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.926337,18.64,99.0,269.87125,-29.135361,17:59:29.10,-29:08:07.3,0.379,1.92515,0.328,18.65,99.0,1494.727,2.525,0.02,18.651,3569.588,598,3.85106,1.92547,7.70118,1.31395,1.97085,0.096,-2.839,4.413,0.414
N,lc_00142.289_01943.857_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00142.289_01943.857_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00141.498_01944.674_t,ceph,8.451414,17.95,19.97,269.635667,-29.278444,17:58:32.56,-29:16:42.4,0.218,8.47877,0.12,17.945,19.939,1523.207,1.844,0.02,17.946,17412.643,824,33.8662,16.918,8.45891,25.38753,4.52209,0.054,-0.83,-0.049,0.331
N,lc_00211.754_01796.649_t,SWEEPS_F3/B.1/newlctot/Isf/lc_00211.754_01796.649_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_00211.382_01797.829_t,ceph,8.451414,17.25,19.61,269.972708,-29.344417,17:59:53.45,-29:20:39.9,0.239,8.45965,0.19,17.255,19.455,1568.914,1.949,0.02,17.255,28105.661,806,33.82377,25.37306,16.9136,8.45644,2.6763,0.084,-1.451,5.201,0.131
N,lc_01398.780_00473.168_t,SWEEPS_F2/A.2/newlctot/Isf/lc_01398.780_00473.168_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_01399.081_00473.035_t,ceph,13.637443,18.59,20.71,269.855708,-29.173639,17:59:25.37,-29:10:25.1,0.303,13.65102,0.158,18.587,20.703,1588.054,1.961,0.02,18.586,10284.899,811,27.32676,13.65421,40.97646,1.07826,1.8591,0.067,-0.884,-0.965,0.099
N,lc_01942.472_00105.957_t,SWEEPS_F1/B.1/newlctot/Isf/lc_01942.472_00105.957_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.334233,19.08,99.0,269.713625,-29.381528,17:58:51.27,-29:22:53.5,0.369,3.33504,0.276,19.076,99.0,1601.715,1.96,0.02,19.071,3429.398,823,6.66852,3.33437,10.00257,1.42296,4.26875,0.117,-2.5,4.505,0.251
N,lc_01907.636_01941.145_t,SWEEPS_F1/B.1/newlctot/Isf/lc_01907.636_01941.145_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,4.068154,18.53,99.0,269.833708,-29.379306,17:59:20.09,-29:22:45.5,0.278,4.06111,0.13,18.538,99.0,1609.82,1.97,0.02,18.535,9979.805,823,4.0655,8.13249,3.97846,16.26029,12.1926,0.056,-1.842,6.668,0.298
N,lc_00555.558_00288.567_t,SWEEPS_F1/A.2/newlctot/Isf/lc_00555.558_00288.567_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_00555.242_00287.823_t,ceph,4.669669,18.72,20.47,269.717125,-29.153417,17:58:52.11,-29:09:12.3,0.241,4.66888,0.238,18.753,20.454,1623.901,1.988,0.02,18.746,3937.563,815,4.6663,9.3317,14.00027,1.64343,2.46518,0.07,-2.295,6.152,0.099
N,lc_01754.551_00838.226_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01754.551_00838.226_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.125278,19.07,99.0,269.910042,-29.432444,17:59:38.41,-29:25:56.8,0.29,3.12433,0.228,19.073,99.0,1661.053,2.089,0.02,19.065,3178.93,801,6.25798,3.12897,9.38571,12.51462,2.92837,0.036,0.665,1.664,0.294
N,lc_00094.892_01106.636_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00094.892_01106.636_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00094.307_01107.244_t,ceph,4.39599,18.87,20.97,269.580958,-29.275694,17:58:19.43,-29:16:32.5,0.319,4.40379,0.157,18.874,20.972,1670.433,2.022,0.02,18.871,7709.76,824,8.80435,4.40379,17.5992,13.20275,5.15742,0.055,-1.631,0.739,0.364
N,lc_01192.013_00617.890_t,SWEEPS_F2/B.4/newlctot/Isf/lc_01192.013_00617.890_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,4.054411,19.04,99.0,269.711542,-29.310139,17:58:50.77,-29:18:36.5,0.226,4.05386,0.249,19.05,99.0,1681.827,2.079,0.02,19.047,1660.127,815,4.04978,3.96965,8.09948,12.14946,1.32326,0.028,-1.615,3.396,0.057
N,lc_00588.024_01296.100_t,SWEEPS_F2/A.2/newlctot/Isf/lc_00588.024_01296.100_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00587.997_01296.280_t,ceph,4.504466,17.49,19.39,269.909625,-29.12725,17:59:38.31,-29:07:38.1,0.27,4.4998,0.207,17.498,19.376,1739.453,2.147,0.02,17.498,19376.443,811,4.50362,9.007,13.50432,18.00587,1.63295,0.082,-1.201,4.432,0.301
N,lc_00371.212_00051.788_t,SWEEPS_F2/A.3/newlctot/Isf/lc_00371.212_00051.788_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_00371.137_00051.019_t,ceph,3.166508,17.77,19.7,269.635375,-29.113944,17:58:32.49,-29:06:50.2,0.274,3.16952,0.151,17.778,19.74,1753.86,2.176,0.02,17.774,14508.021,807,12.67512,6.33766,9.50586,3.16819,5.82155,0.038,-1.309,5.419,0.061
N,lc_01230.572_01523.684_t,SWEEPS_F2/B.4/newlctot/Isf/lc_01230.572_01523.684_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_01230.275_01525.018_t,ceph,7.143465,18.74,20.65,269.771042,-29.312472,17:59:05.05,-29:18:44.9,0.236,7.13609,0.254,18.748,20.665,1807.758,2.221,0.02,18.742,7264.688,815,14.25339,7.12663,3.56246,1.16257,28.57624,0.049,-1.026,3.567,0.501
N,lc_00993.572_00923.074_t,SWEEPS_F3/A.2/newlctot/Isf/lc_00993.572_00923.074_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.136467,19.03,99.0,269.910958,-29.240444,17:59:38.63,-29:14:25.6,0.354,1.13651,0.302,19.038,99.0,1818.283,2.239,0.02,19.039,3259.798,818,2.27284,1.13642,3.40925,4.54562,24.43354,0.126,-2.337,4.944,0.229
N,lc_01666.604_00317.599_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01666.604_00317.599_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.960745,19.31,99.0,269.527375,-29.215972,17:58:06.57,-29:12:57.5,0.334,3.96129,0.271,19.295,99.0,1825.18,2.256,0.02,19.287,5033.808,815,3.95905,7.91883,11.8783,4.01311,1.59336,0.092,0.238,0.995,0.229
N,lc_01036.714_00365.797_t,SWEEPS_F1/B.1/newlctot/Isf/lc_01036.714_00365.797_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.878103,18.9,99.0,269.730667,-29.329833,17:58:55.36,-29:19:47.4,0.294,3.75436,0.26,18.922,99.0,1858.482,2.275,0.02,18.906,8456.598,823,7.51269,3.75643,1.35764,2.71514,1.5777,0.054,-1.145,2.563,0.058
N,lc_01064.396_00454.953_t,SWEEPS_F1/B.1/newlctot/Isf/lc_01064.396_00454.953_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_01064.492_00454.552_t,ceph,3.478569,18.63,20.68,269.7365,-29.331417,17:58:56.76,-29:19:53.1,0.239,3.47381,0.203,18.633,20.629,1863.608,2.356,0.02,18.637,4487.344,789,6.95904,3.48031,13.91428,10.43567,2.33012,0.035,-0.143,-0.113,0.437
N,lc_00094.413_01901.220_t,SWEEPS_F1/A.3/newlctot/Isf/lc_00094.413_01901.220_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00095.170_01900.668_t,ceph,2.290281,19.17,20.97,269.630833,-29.126417,17:58:31.40,-29:07:35.1,0.337,2.28885,0.19,19.175,20.982,1867.194,2.285,0.02,19.171,7357.571,815,2.28639,9.15386,4.57945,6.86815,1.99539,0.045,-2.946,4.135,0.234
N,lc_01972.080_01333.787_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01972.080_01333.787_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_01973.649_01333.215_t,ceph,12.632591,18.29,20.41,269.593708,-29.233389,17:58:22.49,-29:14:00.2,0.328,12.64504,0.221,18.308,20.395,1888.998,2.312,0.02,18.31,14403.282,815,25.29305,37.94546,12.65163,3.24847,2.16551,0.086,-1.28,-0.568,0.174
N,lc_01906.755_01845.060_t,SWEEPS_F3/B.4/newlctot/Isf/lc_01906.755_01845.060_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.387409,19.11,99.0,269.776042,-29.440833,17:59:06.25,-29:26:27.0,0.27,3.54574,0.313,19.102,99.0,1907.822,2.364,0.02,19.098,3391.981,813,7.09128,10.63725,3.54576,4.163,1.38767,0.056,-1.962,2.645,0.183
N,lc_00708.691_01179.469_t,SWEEPS_F1/B.1/newlctot/Isf/lc_00708.691_01179.469_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00708.394_01179.434_t,ceph,8.21987,15.96,17.83,269.783875,-29.311056,17:59:08.13,-29:18:39.8,0.328,8.24437,0.261,15.973,17.849,1927.364,3.312,0.02,15.973,99574.717,580,16.48309,8.24146,32.96285,24.7114,1.77934,0.1,-0.67,-0.746,0.199
N,lc_00923.632_00969.458_t,SWEEPS_F3/B.4/newlctot/Isf/lc_00923.632_00969.458_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_00923.220_00970.252_t,ceph,14.286837,19.5,21.45,269.71875,-29.38475,17:58:52.50,-29:23:05.1,0.291,0.9321,0.389,19.497,21.298,1987.628,2.451,0.02,19.499,2841.562,813,1.86405,14.24438,28.46843,1.92733,2.79658,0.06,2.953,-3.184,0.366
N,lc_01941.770_01706.858_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01941.770_01706.858_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_01942.333_01707.785_t,ceph,11.651429,18.99,21.21,269.620167,-29.380972,17:58:28.84,-29:22:51.5,0.36,0.5216,0.239,18.995,21.235,2054.707,2.91,0.02,18.994,7004.426,704,1.09054,2.18105,35.01781,11.63929,4.3614,0.057,-1.608,5.578,0.092
N,lc_01918.709_00887.663_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01918.709_00887.663_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_01919.541_00888.206_t,ceph,7.059425,18.53,21.12,269.913292,-29.441806,17:59:39.19,-29:26:30.5,0.355,7.0585,0.285,18.541,21.269,2059.879,2.568,0.02,18.54,9314.491,803,28.24365,14.12009,7.06053,21.18033,1.16139,0.115,-1.473,1.224,0.025
N,lc_01963.959_00160.114_t,SWEEPS_F1/B.1/newlctot/Isf/lc_01963.959_00160.114_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_01964.786_00159.812_t,ceph,4.10995,18.79,21.04,269.717167,-29.382722,17:58:52.12,-29:22:57.8,0.292,4.11073,0.239,18.796,21.0,2080.568,2.522,0.02,18.794,6235.39,823,4.11018,8.22326,16.4462,12.33701,1.60535,0.045,-3.031,7.918,0.209
N,lc_00492.387_01018.832_t,SWEEPS_F2/B.4/newlctot/Isf/lc_00492.387_01018.832_t,SWEEPS_F2/B.4/newlctot/Vsf/lc_00491.872_01020.127_t,ceph,3.909139,18.77,20.87,269.737875,-29.270222,17:58:57.09,-29:16:12.8,0.232,1.33918,0.245,18.76,20.836,2098.39,2.581,0.02,18.761,2831.468,814,1.3387,4.01621,2.67784,3.91157,7.82036,0.033,2.224,-1.522,0.263
N,lc_01976.934_00940.452_t,SWEEPS_F1/A.2/newlctot/Isf/lc_01976.934_00940.452_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_01977.286_00940.239_t,ceph,4.212014,18.88,20.87,269.759875,-29.234889,17:59:02.37,-29:14:05.6,0.392,4.21095,0.255,18.916,20.951,2319.86,2.839,0.02,18.916,7903.603,815,4.20953,8.41883,12.62988,16.83732,1.61265,0.107,-2.575,4.107,0.453
N,lc_00521.416_00927.700_t,SWEEPS_F2/A.2/newlctot/Isf/lc_00521.416_00927.700_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00522.401_00928.512_t,ceph,1.23468,19.12,20.32,269.885458,-29.123389,17:59:32.51,-29:07:24.2,0.296,5.19843,0.281,19.126,20.311,2375.08,2.932,0.02,19.119,2720.288,811,2.46919,1.23459,15.59244,5.18709,10.38972,0.033,-1.28,0.434,0.59
N,lc_01424.317_01249.660_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01424.317_01249.660_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_01426.030_01249.959_t,ceph,8.392313,18.38,20.49,269.9325,-29.265167,17:59:43.80,-29:15:54.6,0.249,25.24588,0.076,18.382,20.581,2547.895,3.201,0.02,18.379,9333.918,797,33.65211,25.2599,16.82984,8.41925,1.78333,0.065,-2.775,3.162,0.057
N,lc_00093.094_00162.715_t,SWEEPS_F3/A.2/newlctot/Isf/lc_00093.094_00162.715_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00092.933_00161.488_t,ceph,2.925772,17.01,18.96,269.860958,-29.188722,17:59:26.63,-29:11:19.4,0.353,2.92652,0.222,17.01,18.907,2606.284,3.19,0.02,17.01,63706.836,818,2.92629,8.77866,5.85285,11.70479,1.48768,0.097,-1.825,2.955,0.112
N,lc_00946.822_00224.107_t,SWEEPS_F3/B.4/newlctot/Isf/lc_00946.822_00224.107_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_00946.391_00224.300_t,ceph,2.202032,18.37,20.58,269.669958,-29.386028,17:58:40.79,-29:23:09.7,0.276,1.82164,0.216,18.381,20.607,2737.446,3.371,0.02,18.371,10772.969,813,1.83213,3.66354,5.49555,2.74685,7.32712,0.036,-2.037,5.393,0.227
N,lc_01265.760_00121.182_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01265.760_00121.182_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,3.614777,18.58,99.0,269.514583,-29.193139,17:58:03.50,-29:11:35.3,0.316,3.61485,0.318,18.59,99.0,2806.917,3.627,0.02,18.584,8290.009,780,7.23826,3.61584,14.47202,10.8531,1.37694,0.07,-1.961,2.749,0.214
N,lc_01128.643_00782.269_t,SWEEPS_F2/A.2/newlctot/Isf/lc_01128.643_00782.269_t,SWEEPS_F2/A.2/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,11.112017,18.62,99.0,269.876,-29.158194,17:59:30.24,-29:09:29.5,0.278,33.34296,0.168,18.619,99.0,3133.534,3.912,0.02,18.616,9484.645,807,33.33449,44.49756,22.23175,11.11253,1.09848,0.077,-1.3,4.611,0.156
N,lc_01545.118_00385.794_t,SWEEPS_F2/B.1/newlctot/Isf/lc_01545.118_00385.794_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,2.905828,19.28,99.0,269.854292,-29.330889,17:59:25.03,-29:19:51.2,0.408,2.90715,0.425,19.297,99.0,3181.12,4.012,0.02,19.303,2923.069,799,2.9079,8.72236,5.81495,2.22782,2.97056,0.072,-0.788,-0.096,0.122
N,lc_01699.876_00400.262_t,SWEEPS_F2/B.1/newlctot/Isf/lc_01699.876_00400.262_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.964303,19.16,99.0,269.85525,-29.339722,17:59:25.26,-29:20:23.0,0.467,0.99703,0.469,19.299,99.0,3248.254,3.976,0.02,19.158,3769.338,823,1.01558,1.9642,64.20004,2.03089,55.11533,0.015,-1.837,2.554,3.988
N,lc_00381.904_00854.769_t,SWEEPS_F1/A.3/newlctot/Isf/lc_00381.904_00854.769_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00382.719_00854.087_t,ceph,1.289053,19.15,20.78,269.562542,-29.142806,17:58:15.01,-29:08:34.1,0.248,1.28954,0.339,19.149,20.841,3255.01,4.162,0.02,19.156,3016.608,780,4.406,8.81577,3.86687,1.28911,2.57821,0.033,1.041,-2.438,0.403
N,lc_00944.674_00315.294_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00944.674_00315.294_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00944.588_00315.496_t,ceph,3.509082,16.94,19.42,269.529167,-29.324056,17:58:07.00,-29:19:26.6,0.259,1.39316,0.098,16.962,19.391,3257.224,3.943,0.02,16.965,69561.031,824,7.02395,3.512,1.39308,1.76329,10.53188,0.056,-0.784,-1.492,0.585
N,lc_01420.973_01511.574_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01420.973_01511.574_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_01422.241_01511.023_t,ceph,16.66794,16.46,18.57,269.605333,-29.202,17:58:25.28,-29:12:07.2,0.293,16.63791,0.249,16.48,18.495,3351.886,4.185,0.02,16.477,107373.355,799,33.34286,16.66087,49.98773,2.12163,1.06081,0.086,-2.438,4.528,0.184
